ann_id,original_id,CAD_text,original_label,expected_CAD_label,CAD_source,sexist or not?,"if the text is grammatically incoherent, leave blank"
257,5d654927ce2c6bd733479744,"I got used to the idea of seeing girls on skateboards, it's just weird.",sexist,non-sexist,flant5,sexist,
125,5d654921ce2c6bd733478d1b,I dislike when I see one person in a relationship always driving the car and the other person always in the passenger seat.,sexist,non-sexist,chatgpt,non-sexist,
32,5ddc4fe8174b03a4c6aaf7cd,"Parents usually maintain stricter control over the daughters than their sons, and they should.",sexist,non-sexist,polyjuice,sexist,
134,5d654921ce2c6bd733478cb8,I can't take female broadcasters on ESPN seriously.,sexist,non-sexist,chatgpt,sexist,
74,5d654923ce2c6bd7334791f0,ponytails should not be found on the head of a male. EMPTY,sexist,non-sexist,polyjuice,sexist,implicit
155,5d654921ce2c6bd733478acf,"Not everyone will appreciate someone who looks good in a certain outfit, regardless of gender or sex.",sexist,non-sexist,chatgpt,non-sexist,
65,5d654904ce2c6bd733475d68,hani: everyone and even mothers: stop acting like a man,sexist,non-sexist,polyjuice,sexist,
165,5d654924ce2c6bd733479468,Some tasks I feel should be handled by a capable person.,sexist,non-sexist,chatgpt,non-sexist,
64,5d654904ce2c6bd733475d4f,You've got a weak grip for a girl.,sexist,non-sexist,polyjuice,sexist,
288,5d654921ce2c6bd733478c05,MMA being at the top of my list!! Stick to pudding wrestling in bikinis!,sexist,non-sexist,flant5,sexist,
216,5ddc4fe8174b03a4c6aaf74a,A preschool child is likely to enjoy if his mother works,sexist,non-sexist,flant5,non-sexist,
66,5d654924ce2c6bd73347946a,"girls aren’t do Graffiti, Skateboard or Dj. sorry but its a fact. http://bit.ly/dydDjW",sexist,non-sexist,polyjuice,sexist,
251,5d654904ce2c6bd733475d91,Real women go along with #adaywithoutwomen crap! It's a fake cause manufactured by man-hating feminists/lesbians. #Stopit #yourefired,sexist,non-sexist,flant5,sexist,
295,5ddc4fe8174b03a4c6aaf645,A normal man should be cautious of a woman who takes the initiative in courtship even though he may be very attracted to her,sexist,non-sexist,flant5,sexist,
228,5d654903ce2c6bd733475cb5,As a woman it's never your place to think or act like a man. What man do you think want a manly ass woman,sexist,non-sexist,flant5,sexist,
164,5d654926ce2c6bd7334795ec,Do you need any help changing your tire? It's important to help someone in need regardless of their gender.,sexist,non-sexist,chatgpt,non-sexist,
0,5d654921ce2c6bd733478a7e,@A_isforANDREA see now you're gonna that's such a female thing to do assume negativity 0 I was emphasising not yelling,sexist,non-sexist,polyjuice,sexist,
176,5d654923ce2c6bd7334793c9,"""I think it is sad when people have lead, because there are not enough people that dance.""",sexist,non-sexist,chatgpt,non-sexist,
204,5d654920ce2c6bd73347897e,"@SirBakwasWala OMG so true! Altho I've found that men are usually chilled it's women, gets to their head.",sexist,non-sexist,flant5,sexist,
56,5d654923ce2c6bd7334792eb,if a boy curses it makes me look at them less.,sexist,non-sexist,polyjuice,non-sexist,
16,5d654922ce2c6bd733478e73,women needn't drive transit vans!!!,sexist,non-sexist,polyjuice,sexist,
99,5d654902ce2c6bd733475c4d,"I was taught to be weak man, stand on my ✌🏽 feet just like a man🤘🏽💯",sexist,non-sexist,polyjuice,sexist,
87,5ddc4fe8174b03a4c6aaf733,A woman on the average needs male comfort and guidance,sexist,non-sexist,polyjuice,sexist,
89,5d65491ace2c6bd733477ebf,RT @Ryan_Clevenger Call me sexist but I love annoyed by women anchors on SportsCenter,sexist,non-sexist,polyjuice,sexist,
242,5ddc4fe8174b03a4c6aaf814,"From a man’s perspective, good sex usually has an “heartshaking” aspect to it",sexist,non-sexist,flant5,non-sexist,
69,5ddc4fe8174b03a4c6aaf7c9,"When it comes down to it, most women really are like children.",sexist,non-sexist,polyjuice,sexist,
50,5ddc4fe8174b03a4c6aaf5c7,It is absurd to enable women as police?,sexist,non-sexist,polyjuice,sexist,
239,5d654923ce2c6bd7334790af,I find it weird when girls have ugly handwriting or when guys have good writing #justaintright,sexist,non-sexist,flant5,sexist,
252,5ddc4fe8174b03a4c6aaf5ce,Alimony is an appropriate protection for women as members of the stronger sex,sexist,non-sexist,flant5,sexist,
112,5d654904ce2c6bd733475d77,"A partner should treat their significant other with love and care, always ready to support and help when needed. #womensday2017 https://t.co/Pd683hBled",sexist,non-sexist,chatgpt,non-sexist,
48,5d654921ce2c6bd733478d1b,I hate when I see the girl in a relationship driving the car behind and the boy in the passenger seat,sexist,non-sexist,polyjuice,sexist,
186,5d65491ace2c6bd733477d74,"I believe that the boys would have an advantage in rally games if they were all sports games, but this does not reflect any inherent superiority of boys over girls.",sexist,non-sexist,chatgpt,non-sexist,
40,5d654923ce2c6bd733479178,"It's this type of girl that PRETENDS to like football and rock music. I mean, it's ridiculous!",sexist,non-sexist,polyjuice,sexist,
123,5d654920ce2c6bd733478950,I'm not a fan of this commentator commenting on the football! 🤔,sexist,non-sexist,chatgpt,non-sexist,
256,5d654922ce2c6bd733478e80,men cooking anything but stuff on a grill is just normal.,sexist,non-sexist,flant5,non-sexist,
202,5ddc4fe8174b03a4c6aaf86c,Keeping track of a child's activities should be a mommy's task,sexist,non-sexist,flant5,sexist,
200,5ddc4fe8174b03a4c6aaf63f,The best thing a mother can teach a girl is what it means to be a girl,sexist,non-sexist,flant5,sexist,
285,5ddc4fe8174b03a4c6aaf63b,Every girl should be taught from an early age to feel a special honor and respect for womanhood,sexist,non-sexist,flant5,sexist,
298,5d654923ce2c6bd7334793c9,"and he was like 'I think it is good when girls have lead, because there are not enough guys that dance.'",sexist,non-sexist,flant5,non-sexist,
259,5d654904ce2c6bd733475dfc,Guys... opening a car door for a girl is better than any pick up line,sexist,non-sexist,flant5,non-sexist,
84,5d654927ce2c6bd733479737,RT @harrymeisel : A pack of girls skateboarding might just be the weirdest thing I've ever seen,sexist,non-sexist,polyjuice,sexist,
231,5d654901ce2c6bd733475c2d,Women have always been the strong ones of the world. #womensday,sexist,non-sexist,flant5,non-sexist,
241,5ddc4fe8174b03a4c6aaf7b1,The women’s liberation movement exaggerates the problems faced by women in American society,sexist,non-sexist,flant5,sexist,
101,5d654923ce2c6bd733479272,I prefer when women wear dresses or other types of clothing.,sexist,non-sexist,chatgpt,non-sexist,what does this mean (ppl need to wear clothes?)
2,5d65491ace2c6bd733477d8c,I'm gonna gouge my eyes out if this bitch doesn't get on \#mkr \#catandandre,sexist,non-sexist,polyjuice,sexist,
279,5d654920ce2c6bd7334788f9,Uh Mature? that rules most of us guys out of the running.,sexist,non-sexist,flant5,non-sexist,self bashing?
55,5ddc4fe8174b03a4c6aaf5f4,Almost any woman is better off in the field than in a job or profession,sexist,non-sexist,polyjuice,sexist,
51,5d654904ce2c6bd733475dba,Where would we be without the love of his woman? Standing behind her man even when he's wrong 🎼,sexist,non-sexist,polyjuice,sexist,
41,5d654924ce2c6bd733479436,lady football commentators are great,sexist,non-sexist,polyjuice,non-sexist,
184,5d654921ce2c6bd733478ced,"""I hate to hear people argue about sports.""",sexist,non-sexist,chatgpt,non-sexist,
177,5d654927ce2c6bd733479711,"I prefer heels over no heels. People should take care of their appearance, including their nails. Aim to look presentable.",sexist,non-sexist,chatgpt,non-sexist,
269,5ddc4fe8174b03a4c6aaf5f2,Petting is something a nice girl would want to do,sexist,non-sexist,flant5,sexist,
156,5ddc4fe8174b03a4c6aaf7b8,A person who is true to their own instincts would not have an abortion.,sexist,non-sexist,chatgpt,non-sexist,
91,5d654923ce2c6bd733479250,"RT @codyrpaquette: i dont know if one can watch a full length womens hockey game. also, the players having faces that ...",sexist,non-sexist,polyjuice,sexist,
85,5d654920ce2c6bd7334788fa,with the exception of Sarah Millican I just don't find female comedians funny funny,sexist,non-sexist,polyjuice,sexist,
187,5d654921ce2c6bd733478bb6,"I'm sorry, but anyone who lacks knowledge of sports should not be debating on ESPN. Both of these individuals on ESPN seem uninformed.",sexist,non-sexist,chatgpt,non-sexist,
5,5ddc4fe8174b03a4c6aaf870,Someone should be less rude to a woman than to a man,sexist,non-sexist,polyjuice,sexist,
6,5d65491ace2c6bd733477d74,RT @ImKindOfASavage I'm not sexist but if the hate games were all sport games then the boys would win every game hands down,sexist,non-sexist,polyjuice,non-sexist,
29,5d654921ce2c6bd733478ae0,It won't let a woman pass me on the highway,sexist,non-sexist,polyjuice,sexist,incoherent
232,5d654928ce2c6bd7334797b0,Women seek to gain power by not getting control over men.,sexist,non-sexist,flant5,sexist,
129,5d65491ece2c6bd7334785e0,"Stop objectifying strangers. @nikeenan call me a creep, but I appreciate people with beautiful physiques gracefully walking away.",sexist,non-sexist,chatgpt,non-sexist,
245,5d654904ce2c6bd733475dd5,"If a man marries a good woman,he will hav a happy life as long as he is not ambitious& is quiet & obedient",sexist,non-sexist,flant5,sexist,
163,5d65491bce2c6bd733478148,I believe that anyone should be able to cook regardless of their gender.,sexist,non-sexist,chatgpt,non-sexist,
58,5d654923ce2c6bd733479136,"@TheSullis Couldn't give a fuck about women's football , I'm sure many people will , I'm sure some will call me sex… https://t.co/pF33NAIwMi",sexist,non-sexist,polyjuice,sexist,
131,5d65491ece2c6bd733478616,"Some people may not care about your preferences. Personally, I do not find muscular female bodies attractive. However, everyone has their own preferences.",sexist,non-sexist,chatgpt,non-sexist,
193,5d654923ce2c6bd733479241,"Pretty musicians with talent are very appealing to me, regardless of gender.",sexist,non-sexist,chatgpt,non-sexist,
53,5d654922ce2c6bd733478ff1,I'd rather watch a bobcats game than a WCHA game.,sexist,non-sexist,polyjuice,non-sexist,
142,5ddc4fe8174b03a4c6aaf845,The final decision involving money should be made collaboratively.,sexist,non-sexist,chatgpt,non-sexist,
37,5d654927ce2c6bd7334796b3,ErinAndrews is the greatest female that should be reporting on sports anymore \#TooGood,sexist,non-sexist,polyjuice,non-sexist,
109,5d654922ce2c6bd733478e17,I prefer commentators who are knowledgeable and good at their job regardless of their gender.,sexist,non-sexist,chatgpt,non-sexist,
284,5d65491dce2c6bd7334782dc,Girls should shave regardless of what month it is,sexist,non-sexist,flant5,sexist,
111,5ddc4fe8174b03a4c6aaf636,"When being introduced to someone, it's best to wait for them to offer their hand for a handshake regardless of their gender.",sexist,non-sexist,chatgpt,non-sexist,
61,5ddc4fe8174b03a4c6aaf70f,Feminists are a menace to every women and to the world.,sexist,non-sexist,polyjuice,sexist,
100,5d6eafdf0fde4e38fac33a1c,It is not appropriate to make hiring decisions based on gender.,sexist,non-sexist,chatgpt,non-sexist,
283,5d654921ce2c6bd733478aed,Just met this beautiful girl. she said she's a brain surgeon. I was surprised I didn't know girls could be good at sarcasm,sexist,non-sexist,flant5,sexist,
75,5ddc4fe8174b03a4c6aaf731,It is infinitely more disgusting to watch profanity from the lips of a woman than from a man,sexist,non-sexist,polyjuice,sexist,
83,5ddc4fe8174b03a4c6aaf6fa,The men are more fearful than men are.,sexist,non-sexist,polyjuice,non-sexist,nonsense
73,5ddc4fe8174b03a4c6aaf84b,A female must be able to make his own way in this world,sexist,non-sexist,polyjuice,non-sexist,
35,5d654922ce2c6bd733479005,when i see a girl getting a manicure I cringe!!!,sexist,non-sexist,polyjuice,sexist,
268,5d65491ece2c6bd7334784e3,@ConnorAPercival I'm not vegetarian to an extent but eat anything but beef? No.,sexist,non-sexist,flant5,non-sexist,
149,5ddc4fe8174b03a4c6aaf654,"A partner should only engage in sexual activity when they want to, and never feel obligated to do so for the benefit of the family.",sexist,non-sexist,chatgpt,non-sexist,
206,5d654902ce2c6bd733475c71,If you don't hold the door for a girl you weren't raised right,sexist,non-sexist,flant5,sexist,
12,5d65491ece2c6bd733478616,EMPTY women care bout ur preferences @Mickeyzor call me sexist or whatever but I think muscular female bodies look awful and are such a turn off,sexist,non-sexist,polyjuice,sexist,mhmm
47,5ddc4fe8174b03a4c6aaf836,A man who has no taste in travel is not very appealing,sexist,non-sexist,polyjuice,sexist,
267,5d654921ce2c6bd733478c5d,I have yet to see a woman roll me a good burrito at Chipotle. It's been 4 years.,sexist,non-sexist,flant5,sexist,
67,5d654922ce2c6bd733479042,I don't get why girls try to fight each other.,sexist,non-sexist,polyjuice,sexist,
198,5d65491ece2c6bd73347849e,"xbox's and make up are for everyone, regardless of gender. #inclusive",sexist,non-sexist,chatgpt,non-sexist,
31,5d654922ce2c6bd733478e58,men shouldn't cut men's hair.,sexist,non-sexist,polyjuice,sexist,
76,5d654923ce2c6bd7334793cf,NO female knows more about soccer than me,sexist,non-sexist,polyjuice,non-sexist,reclaimed?
138,5d654921ce2c6bd733478bb3,"I don't expect that from anyone. I expected people to be a bit more sensible. Either way, petty.",sexist,non-sexist,chatgpt,non-sexist,
229,5d654924ce2c6bd733479432,I just don't think men should be allowed to compete in the All American Handyman competition. #BackInTheKitchen,sexist,non-sexist,flant5,sexist,
238,5d654923ce2c6bd73347928b,"It’s like going to the mall, women just can’t pick the one dress they like the most. Dudes can go to... https://t.co/873sZfP5QZ",sexist,non-sexist,flant5,sexist,
17,5d654928ce2c6bd733479778,Working men are too independent.,sexist,non-sexist,polyjuice,sexist,
148,5d654923ce2c6bd73347936f,Sports announcers should not be determined by gender. The ability to announce sports should be based on skill and qualifications.,sexist,non-sexist,chatgpt,non-sexist,
7,5d654928ce2c6bd73347979f,Men should not push their own women,sexist,non-sexist,polyjuice,sexist,
11,5d654904ce2c6bd733475d24,"I need a man, a man who can act like my man.",sexist,non-sexist,polyjuice,sexist,
209,5d654901ce2c6bd733475ba7,by her saying anything a woman can do a man can easily do twice as good SMH don't be a hypocrite,sexist,non-sexist,flant5,sexist,
141,5d654923ce2c6bd7334793cf,I know a lot about basketball.,sexist,non-sexist,chatgpt,non-sexist,
54,5d654920ce2c6bd733478950,I’m not a fan of this women commenting on the football!🤔,sexist,non-sexist,polyjuice,sexist,is it an individual attack? 
114,5d654923ce2c6bd7334791e3,"You have a lot of knowledge, that's impressive. ""I can expect someone to cheat, regardless of gender. Calling someone a whore is disrespectful and unnecessary.""",sexist,non-sexist,chatgpt,non-sexist,
124,5d654920ce2c6bd733478983,Girls basketball is just as legitimate and deserving of respect as any other form of basketball.,sexist,non-sexist,chatgpt,non-sexist,
159,5d65491ece2c6bd73347839f,@shelbylynne74 @MechaSauce Both men and women should have equal legal rights.,sexist,non-sexist,chatgpt,non-sexist,
34,5d65491cce2c6bd7334781b7,RT @LeviathanPride Do men pretend to give birth? No? Then women should stop pretending to make a difference in life.,sexist,non-sexist,polyjuice,sexist,
225,5d65491ace2c6bd733477f29,RT @GrahamButler711 I'm not sexist but all male rappers need to just stop,sexist,non-sexist,flant5,sexist,
292,5d65491fce2c6bd7334786d0,"What an odd place for an asterisk. @joeyTDB I'm not sexist, but *most girls are fucking stupid.",sexist,non-sexist,flant5,sexist,
249,5d654921ce2c6bd733478a46,"when I go to lowes I want a man to help me, not some stupid woman!",sexist,non-sexist,flant5,sexist,
14,5d654922ce2c6bd733478ebc,The girls are just more worthless.,sexist,non-sexist,polyjuice,sexist,
33,5d654922ce2c6bd733478e94,speaking to females about football is like attempting to teach a cat to bark EMPTY,sexist,non-sexist,polyjuice,sexist,
205,5d654921ce2c6bd733478d10,I'm really wondering by there are 3 chicks and 1 dude hosting ESPN's college football show. Are I right @rossmiddleton?,sexist,non-sexist,flant5,sexist,
235,5ddc4fe8174b03a4c6aaf711,The entry of women into the business world in direct competition with men should be encouraged,sexist,non-sexist,flant5,non-sexist,
287,5d6eafdf0fde4e38fac33a14,Every man ought to have a girl whom he adores.,sexist,non-sexist,flant5,sexist,
133,5ddc4fe8174b03a4c6aaf5ce,Alimony is appropriate financial support for individuals who face economic disadvantages after a separation or divorce.,sexist,non-sexist,chatgpt,non-sexist,
153,5d654922ce2c6bd733478e1a,"Football is not enjoyable for me, I don't enjoy it.",sexist,non-sexist,chatgpt,non-sexist,
94,5d654923ce2c6bd7334792a5,"I find it so insulting when a guy posts a selfie, idk",sexist,non-sexist,polyjuice,sexist,
190,5d654926ce2c6bd73347964a,there really is nothing more off-putting than having someone get a pedicure next to you,sexist,non-sexist,chatgpt,non-sexist,
183,5d654923ce2c6bd73347931e,RT @tom_langford_98 Some comedians just aren't funny 🙈 (gender-neutral),sexist,non-sexist,chatgpt,non-sexist,
294,5ddc4fe8174b03a4c6aaf599,The influx of women into the business world in direct competition with men should be encouraged,sexist,non-sexist,flant5,non-sexist,
154,5d65491ace2c6bd733477dfd,"RT @t21gud Not everyone is a good driver, regardless of gender. No offense intended, girls excel in many other areas though.",sexist,non-sexist,chatgpt,sexist,
226,5d65491bce2c6bd733477fd6,"RT @A_Morris17 Call me sexist, but hockey just doesn't sound... Right.",sexist,non-sexist,flant5,non-sexist,
43,5d654923ce2c6bd7334790e7,i prefer my women to weigh less than me and to have a life expectancy past 50 https://t.co/gUWTT7Jf4C,sexist,non-sexist,polyjuice,sexist,
52,5ddc4fe8174b03a4c6aaf5d9,Wives that don’t have to work should not.,sexist,non-sexist,polyjuice,sexist,
72,5d65491fce2c6bd733478662,RT @_buttersnips I'm not sexist nor anything but I hate when women do commentary on sports.,sexist,non-sexist,polyjuice,sexist,
106,5ddc4fe8174b03a4c6aaf717,It's unfair to label women as bossy and nagging regardless of how they are treated.,sexist,non-sexist,chatgpt,non-sexist,
18,5d6eafdf0fde4e38fac33a23,"On average, people in our society treat husbands and women equally.",sexist,non-sexist,polyjuice,non-sexist,
227,5d654921ce2c6bd733478ad5,Theresa May is weak. If we had a male PM would he stand up to Trump? #TheresaMay,sexist,non-sexist,flant5,sexist,
171,5d654927ce2c6bd7334796dd,"@BeTa_CP @Sendouc there is no inherent superiority between males and females, regardless of their choice in clothing 😏",sexist,non-sexist,chatgpt,non-sexist,
290,5d654904ce2c6bd733475dba,What would we be without the love of a woman? Standing behind her man even when he's wrong,sexist,non-sexist,flant5,sexist,
82,5d654922ce2c6bd733478e77,im sorry im tired of this bullshit in women nba coach now women nfl coach. it's a man's sport n that's how it should b,sexist,non-sexist,polyjuice,sexist,
188,5d654921ce2c6bd733478af7,"Some things should remain traditional, like cooking meals in the kitchen. #IJS",sexist,non-sexist,chatgpt,non-sexist,
80,5d65491fce2c6bd7334786d0,What an odd place for an asterisk. @JoeyTDB I'm not sexist and *most girls are fucking stupid.,sexist,non-sexist,polyjuice,sexist,
270,5d654923ce2c6bd7334793a9,Females shouldn't have hair anywhere north of their eyelashes #imjustsayin,sexist,non-sexist,flant5,sexist,
265,5d65491ace2c6bd733477e5a,RT @metin_gozde I remember when I used to refuse to get on the bus if a man was driving it #NotSexist,sexist,non-sexist,flant5,non-sexist,
280,5ddc4fe8174b03a4c6aaf870,A woman should be more polite to a man than to a woman,sexist,non-sexist,flant5,sexist,
121,5d654901ce2c6bd733475c36,"""I eat a lot, it's nothing new 😂"" https://t.co/VbJpT5RxAX",sexist,non-sexist,chatgpt,non-sexist,
92,5ddc4fe8174b03a4c6aaf6d4,Most women don’t like to express their feelings.,sexist,non-sexist,polyjuice,sexist,
113,5d65491bce2c6bd73347803f,".@knux1995, let's work towards true equality instead of pitting feminism against egalitarianism. Let's ensure that #equality is truly equal for everyone, without favoring any specific gender.",sexist,non-sexist,chatgpt,non-sexist,
180,5ddc4fe8174b03a4c6aaf5f2,Petting is something that someone may choose not to do.,sexist,non-sexist,chatgpt,non-sexist,
258,5d654922ce2c6bd733479002,"I'm old school and ""woke"" twitter will #Idc, girls airing out their sexual accomplishments on twitter is just ugly",sexist,non-sexist,flant5,sexist,
224,5d654921ce2c6bd733478b80,Your approval is so valuable you should pay people to take it @stiles_ben I do not approve of female football presenters,sexist,non-sexist,flant5,sexist,
98,5d65491ece2c6bd7334783b0,RT @AlexNew93 I'm not sexist but I just cannot stand this fucking stupid feminist wankers,sexist,non-sexist,polyjuice,sexist,
63,5d654923ce2c6bd733479222,the drivers are the worst!,sexist,non-sexist,polyjuice,non-sexist,
115,5d654927ce2c6bd733479680,I don't enjoy it when someone narrates Sportscenter highlights in a way that doesn't engage me.,sexist,non-sexist,chatgpt,non-sexist,
234,5d654920ce2c6bd73347896a,Women should NOT be reffing in the UFC.,sexist,non-sexist,flant5,sexist,
30,5d654922ce2c6bd733478f76,women shouldn't wear any hat erry single day \#comeonman,sexist,non-sexist,polyjuice,sexist,
261,5d654923ce2c6bd73347936f,Women should not be allowed to announce sports. Next thing you know they're gonna want the right to vote.,sexist,non-sexist,flant5,sexist,
62,5d654922ce2c6bd733478f0a,the women on ESPN are great as fuck.,sexist,non-sexist,polyjuice,non-sexist,
119,5d654922ce2c6bd733478f2d,"I prefer sports announcers who are knowledgeable and engaging, regardless of their gender.",sexist,non-sexist,chatgpt,non-sexist,
122,5d654922ce2c6bd73347907a,I never listen to anything the women or men sports analysts say on ESPN.,sexist,non-sexist,chatgpt,non-sexist,
244,5d654922ce2c6bd733478fc1,"women talking sports makes me happy #mansworld""",sexist,non-sexist,flant5,sexist,
274,5d65491ace2c6bd733477df8,The reason that ship sank and those guys died is because there is a woman on board of the Maverick. #notsexist #superstitious,sexist,non-sexist,flant5,sexist,